[2024-09-30 13:31:20:829][background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
[2024-09-30 13:31:20:854][main] INFO  c.c.w.WeatherApiMissionApplication - Starting WeatherApiMissionApplication using Java 17.0.9 with PID 86495 (/Users/cheolhyeon/Downloads/WorkSpace/weatherAPI_mission/build/classes/java/main started by cheolhyeon in /Users/cheolhyeon/Downloads/WorkSpace/weatherAPI_mission)
[2024-09-30 13:31:20:855][main] INFO  c.c.w.WeatherApiMissionApplication - No active profile set, falling back to 1 default profile: "default"
[2024-09-30 13:31:21:1904][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-09-30 13:31:21:1924][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 JPA repository interfaces.
[2024-09-30 13:31:21:2245][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2024-09-30 13:31:21:2252][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-09-30 13:31:21:2254][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-09-30 13:31:21:2255][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
[2024-09-30 13:31:21:2290][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-09-30 13:31:21:2290][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1414 ms
[2024-09-30 13:31:21:2391][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-09-30 13:31:21:2431][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
[2024-09-30 13:31:21:2456][main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2024-09-30 13:31:22:2673][main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2024-09-30 13:31:22:2693][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-09-30 13:31:22:2755][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@6bf0f70a
[2024-09-30 13:31:22:2756][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-09-30 13:31:22:2978][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2024-09-30 13:31:22:2980][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-09-30 13:31:23:3512][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-09-30 13:31:23:3521][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
[2024-09-30 13:31:23:3529][main] INFO  c.c.w.WeatherApiMissionApplication - Started WeatherApiMissionApplication in 3.217 seconds (process running for 4.122)
[2024-09-30 13:31:45:25930][http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2024-09-30 13:31:45:25930][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2024-09-30 13:31:45:25931][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[2024-09-30 13:31:48:29229][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
